tay,viet,pos,theme
Tốm phá,phá,V,
Tốm đang,sẩy thai,N,
Tồn,đồn,M,
Tổn,Tốn,Np,
Tổn minh,đoản mệnh,N,
Tông,rầm,M,
tông rườn,rầm nhà sàn,N,place
Tông bá,chông bá,N,
Tông cạy,trông cậy,V,
Tông chí,đông chí,M,time
Tồng,bạn,N,
Hết tồng,làm bạn thân,V,
Tồng giống,giống,A,
Tồng giống,như,C,
Tồng cạ,ví như,C,
Tông,đồng,N,
Pây tông,đi làm đồng,V,
tông nà,đồng ruộng,N,
Tổng,trống,M,
Cọn tổng,đánh trống,V,
Tổng,đống,M,
tổng khẩu,đống lúa,N,
Tổng,tẹp phai,N,
Tộng,đũng,M,
tộng khóa,đũng quần,V,
Tộng,chọc thủng,V,
Tộng,"sắp, giở chứng",M,
tộng phôn,sắp mưa,V,
Tốp,vỗ,V,
tốp mừ,vỗ tay,V,
Tốp,gõ,M,
tốp tu,gõ cửa,V,
Tốp,chép,M,
tốp pác,chép miệng,V,
Tơ tơ,tơ,M,
Tợ tàng,dở dang,A,
TơI,đời,N,
tơi cần,đời người,N,
Puộn tơi,suốt đời,N,
Tơi ké,đời xưa,N,
Tơn mjúp,mịn màng,N,
Tu,cửa,N,place
Khay tu,mở cửa,V,place
tu sluổm,cửa buồng,N,place
Tu,kẽ hở,T,
Tu ảng,cổng,N,
Tu rườn,nhà cửa,N,place
Tu rườn,gia đình,N,
Tù,mũ,N,
Hổm tù,đội mũ,N,
Tú,"cùn, mòn",CH,
Tú,kém thông minh,A,
Tua,con,N,
tua cần,con người,N,
tua ma,con chó,N,
Tua,đứa,Nc,
tua đếch,đứa trẻ,N,
Tua,gái,N,
Tua của,con vật,N,
Tuẩy,đuốc,M,
tẻm tuẩy,thắp đuốc,V,
Tuẩy,soi,M,
tuẩy pja,soi cá,V,
Tui,cái dùi đục,A,
Tui,cái búa đinh,M,
Tui,"phang, đánh",CH,
Tui toóc,cái búa đập,V,
Tủi,túi,N,
Tùm,"chạm, vướng",V,
Tủm,cái bu,T,
tủm cáy,bu gà,V,
Tủm,lồng,M,
Tum,nhú,M,
Coóc tum,sừng mới nhú,V,
Tum,lộc nhung,N,
Tum,ỉa đùn,N,
Tum,đái dầm,N,
Túm,quả xổ,N,
Tung,trong,E,
tung gia,trong nhà,E,place
Tủng,"vướng, vấp",CH,
Tủng,bí,A,
Tủng,đụng,V,
Tủng,túng,M,
tủng chèn,túng tiền,V,
Tủng thiểu,túng thiếu,N,
Túng lụt,đặc sệt,M,
Túng toáng,lủng lẳng,N,
Túng toáng,lang thang,V,
Túng toáng,bừa bãi,M,
Tuổi,đuổi,V,
Tuôn,cái cưa,T,
Tuống,vũng,M,
tuống nặm,vũng nước,N,place
Tuống,quai,M,
tuống xoỏng,quai thạ,N,
Tuống,xâu,M,
Tuộng,chào,V,
Tuộng,hỏi đến,E,
tuộng thâng,hỏi tới,E,
Tuộng,ma quấy rối,N,
phi tuộng,ma làm,V,
Tuột,bán buôn,M,
Túp,cụp,M,
Xu túp,tai cụp,N,
Tụp,đánh,V,
Tụp,đấm,V,
tụp lăng,đấm lưng,V,
Tụp con,đánh đập,V,
Tuyện,"chuyện, truyện",CH,
Tư,nhừ,M,
Nựa tư,thịt nhừ,N,
Từ,im,M,
Từ,ngẩn,M,
Tứ,từ,E,
Tức,đánh,V,
tức slấc,đánh giặc,V,
tức pja,đánh cá,V,
tức tỏ,đánh bạc,V,
Tức,làm,V,
tức tàng,làm đường,V,place
Tức,đẽo,M,
tức mạy,đẽo gỗ,N,
Tức,câu,N,
tức bết,câu cá,V,
Tức,bả,P,
tức da,đánh bả,P,
Tức,bón,M,
tức khún,bón phân,N,
Tức,bỏ,V,
tức bùa,bỏ bùa,V,
Tức,bật,V,
tức lền,bật dây mực,N,
Tức,tra,M,
tức dầu,tra dầu,N,
Tức,chơi,V,
tức còn,chơi còn,V,
Tức thấu,săn bắn,V,
Từn từn,ầm ầm,M,
Tứn,dậy,V,
Nòn tứn,ngủ dậy,V,
tứn dặng,đứng dậy,V,
Tứn,mọc,V,
Bắp tứn,ngô mọc,V,
Tứn,phồng rộp,N,
Tứn,nổi,R,
Háp tứn,gánh nổi,V,
Tứn đang,khởi hành,M,
Tứn đang,ra đi,V,
Tứn kha,khởi hành,M,
Tứn mà,thức dậy,V,
Tứn to,nổi gai ốc,M,
Tứng,từng,P,
Tưởi,tưới,M,
tưởi phjắc,tưới rau,V,
Tươn,màng,M,
Tươn,hòng,M,
Tượn,ngọt lợ,M,
Tường,trường,N,place
Tưởng,tướng,N,
Tựt,phựt,M,
Tựt tựt,giần giật,V,
ù nì,nuông chiều,N,
ủ ê,ẩm,M,
ú tẩu,củ ấu tàu,N,
ủ tụ,nồng nặc,M,
ú ú,hu hu,N,
ủm,ôm,V,
ủm,bế,M,
ủm lục,bế con,V,
ủm,nội,N,
pú ủm,ông nội,N,
mé ủm,bà nội,N,
ủn,bát to,N,
ún,ấm,M,
ún,nóng,A,
Phjác ún,trán nóng,N,
ún,hâm,M,
ún phjắc,hâm thức ăn,V,
ún on,ấm áp,V,
ún rạt,nóng ran,M,
úm rum,ấm nóng,A,
úm rum,âm ấm,N,
úng,"thiu, thối",CH,
Uối,bẩn,A,
Mừ uối,tay bẩn,N,
Uổn,"uốn, nắn",CH,
Uổn,"dạy, rèn",V,
Uổn,mập,M,
Uổn ẻo,uốn éo,N,
Uổn ẻo,vặn,M,
Uổn ẻo,ngoằn ngoèo,N,
Uổn múp,mập mạp,M,
Uốn,nước ăn chân,N,
út chùi,đứng lên nào,V,
Teo,quay lại,V,time
Teo,lượt,N,
Tèo,"cái, chiếc",T,
tèo chúp,cái nón,N,
tèo khân,cái khăn,N,
Tèo,mũi,N,
tèo pưn,mũi tên,N,
Tèo,sợi,N,
tèo mây,sợi chỉ,N,
Tèo,nhảy,V,
Tèo tọt,nhảy nhót,V,
Téo,khố,M,
Toỏng téo,đóng khố,V,
Téo,bỏ,V,
téo pây,bỏ đi,V,
Tả téo,bỏ mặc,V,
Tẹp,đuổi,V,
Tẹp,theo,V,
Tẹp phai,"tống, đuổi",CH,
Tẹp tuối,"đuổi, sa thải",CH,
Têm,đầy,A,
Tển,ngắn,A,
Tển,đoản,M,
Minh tển,đoản thọ,N,
Tển nhít,ngắn ngủn,M,
Tển nhít,ngắn ngủi,M,
Tềnh,trên,E,
tềnh pù,trên núi,E,place
Tệnh,"đấm, thụi",CH,
Tệnh,nhét,M,
Tệnh,chen,V,
Tha,mắt,N,
tha hăn,mắt thấy,V,
Tha,mắt,N,
tha cuôi,mắt sọt,N,
Tha,"mấu, mắt",N,
Tha,hoa,N,
tha chăng,hoa mặt cân,N,
Tha bay,mắt sắc,N,
Tha chó,tha quác,V,
Tha đăm,mắt đen,N,
Tha đăm,lóa mắt,V,
Tha khao,mắt trắng,N,
Tha khao,xanh mắt,N,
Tha lương,vàng mắt,N,
Tha mjạp,chớp mắt,V,
Tha nả,mặt mũi,N,
Tha nựa,nước da,N,
Tha pu,mắt cá chân,N,
Tha quác,mắt cáo,N,
Tha toọc,mắt chột,N,
Tha vằn,mặt trời,N,
Thà,thà rằng,C,
Thả,đợi,V,
Thá,lứa,N,
Thá,lớp,N,
thá ké,lớp người già,N,
Thác,phjác₂,M,
thai,chết,V,
Khả thai,giết chết,V,
thai,"quá, lắm",R,
Thai băt,chết ngạt,V,
Thai dồng,chết đứng,V,
Thai đắp,chết tiệt,V,
Thai khuy,chết lụi,V,
Thai kheng,chết cứng,V,
Thai nghéng,chết,V,
Thai ngun,chết già,V,
Thai phi,chết,V,
Thai pjài,chột,M,
Thai ra,chết toi,V,
Thài,chốc,N,
Tham,tham,M,
Than,bệnh sởi,N,
Thản,giá,N,
thản sléc,giá sách,N,
Thản,ban thờ,V,
Thán,than,N,
thán fầy,than lửa,V,
Bó thán,mỏ than,N,
Thán,than thở,M,
Thán mỉ,than đen,N,
Thang,"canh, nước dùng",N,
Thang,người đã chết,V,
Thang,vuốt,M,
Thang,chặt,A,
Thàng,chịu,V,
Thàng,đảm đang,N,
Tháng,hoành,M,
tháng dảo,hoành vựa thóc,N,
Tháng,bậc thang,N,place
tháng đuây,bậc thang,N,place
Thào,chửi,V,
Thảo,đúc,M,
Thảo,nôn,M,
thảo oóc,nôn ra,V,
Thảo,phá,V,
thảo lục,phá thai,V,
Thảo lượt,thổ huyết,M,
Thảo pao,nôn mửa,N,
Thảo pao,đi tả,V,
Tháo,"nhỡ, vừa",CH,
Mò tháo,con bò nhỡ,V,
Thạo thựt,thành thạo,V,
Thá,xước,M,
thá năng,xước da,V,
Thát,hắt,M,
Thạt,"đớp, hốc",N,
Thau,dây,N,
thau mằn,dây khoai,N,
thau cát,dây sắn,N,
Thau,cuống,M,
thau qua,cuống dưa,N,
Thau,thu,V,
thau tan,thu hái,V,
thau slặp,thu thập,M,
Tháu,thích mắt,V,
Tháu,sướng,A,
Tháy,"cạo, cắt",CH,
tháy hua,cắt tóc,V,
tháy mum,cạo râu,V,
Tháy,"bé, nhỏ",CH,
Thạy thạy,lia lịa,N,
Thắc,châu chấu,M,
Thắc,"đeo, mang",V,
thắc xảng,đeo bên sườn,N,
Thắc thản,châu chấu to,N,
Thắc then,châu chấu,M,
Thắc thúa,cào cào,V,
Thắm,ngườm,M,
Thắn,bậc,N,
Thắn,tầng,N,
Thắn,ngấn,M,
Thắp,"tìm, kiếm, lùng",CH,
Thắp tháng,tìm tòi,V,
Thắt,lê,M,
Thắt,nhích,M,
Thắt rọt,lết,M,
Thân,thân,N,
Thân,"dịch, nhích",CH,
Thân,lùi,M,
thân teo,lùi lại,V,
Thân,hoàn lại,V,
Thân khêm,khâu tỉ mỉ,N,
Thân lăng,giật lùi,V,
Thân thói,rút lui,V,
Thân thói,tiến thoái,V,
Thâng,"đến, tới",T,
Thâng,bằng,E,
Thâng ti,đến nơi,V,place
Thâng ti,đến cùng,V,
Thất,lọc,V,
thất đắng,lọc nước tro,N,
Thất,ngược,A,
tạo thất,đảo ngược,N,
khoen thất,treo ngược,V,
Thất,nói lái,V,
Thấu,săn,V,
Po thẩu,cha đẻ,V,
Thây,cái cày,T,
mạc thây,cái cày,T,
Thây,cày,M,
thây nà,cày ruộng,V,
Thây ké,cày vỡ,V,
Thây phưa,cày bừa,V,
The,sle,M,
Thẻ,thay,V,
Thẻ,cậy,M,
Thẻ,dựa,V,
Théc,phéc,M,
Them,thêm,V,
Them,nữa,R,
Them a,rồi đấy,P,
Them lo,nữa không,R,
Them lo,cơ mà,C,
Them ớ,cơ đấy,P,
Them ló,rồi đấy,P,
Thém,thềm,M,
thém rườn,thềm nhà,N,place
Thém,thèm,V,
Then,Then,Np,
Then búa,ong ống,N,
Then lương,ong vàng,N,
Then rằm,ong cám,N,
Thẻn,bát quái,N,
Theng,pheng,M,
Thẻng,hích,M,
Thẻng,đánh,V,
Theo,sợi,N,
theo mây,sợi chỉ,N,
Theo,đoàn,N,
Thép,hép₁,M,
Thet,cái bàn chải,T,
Thet,chải,M,
Thếng thếng,thênh thang,M,
Thí,mau,M,
Xâng thí,cái sàng mau,A,
Thí,dày,A,
Thí,sít nhau,V,
Thí nhích,dày sít,M,
Thí rựp,kín mít,M,
Thí tháy,tỉ mỉ,A,
Thí tháy,cầu kì,N,
Thích,đá,N,
Thích,"vẩu, khểnh",CH,
khẻo thích,răng vẩu,N,
Thiên,biết,V,
Thiên ti,lung tung,M,
Thiêng,cái lều,N,
Thiêng khỉ,nhà vệ sinh,N,place
Thiếp,thiếp mời,V,
Thiêu,"khều, khêu",CH,
Thiêu,nhể,M,
Thiếu,nhảy,V,
Thiếu,lêu lổng,N,
Thin,tiện,M,
thin lót,tiện ống suốt,V,
Thin,cắt cho bằng,V,
Thìn,thìn,M,
Thinh thự,sinh sự,V,
Thinh thự,giở chứng,V,
Thình,"loại, thứ, hạng",N,
Thỉnh,thính,M,
Thít,lẹm,M,
Thiu,mụn trứng cá,N,
Thiu,đinh râu,N,
Thò,thồ,M,
Thỏ,"vốn, đã nói",CH,
Thỏ,địa phương,N,place
da thỏ,thuốc địa phương,N,
Thó,đùm,M,
Thó,túm,M,
Thóa,nhà cửa,N,place
Thoóc,thay,V,
Thoóc,đổ,V,
Thoóc,"phá, nạo",CH,
thoóc đang,phá thai,V,
Thoi,"bãi, soi",CH,place
thoi dài,bãi cát,N,place
thoi bắp,bãi ngô,N,place
Thoi,"nôn, mửa",CH,
Thỏi,hàng,N,
thỏi nà,hàng lúa,N,place
thỏi tẳng,hàng dọc,N,
thỏi khoang,hàng ngang,N,
Thỏi,dòng,N,
thỏi slư,dòng chữ,N,
Thỏi đét,tia nắng,N,
Thói,tháo,V,
Thói,rút,V,
Thói,hoàn lại,V,
Thom,dành,V,
Thom,gom góp,M,
Thom,tụ tập,M,
Thom,vun vào,E,
Thón,tỉa,M,
thón bắp,tỉa ngô,V,
Thón,rút bớt,V,
Thón,vãi,M,
thón neo,vãi đái,N,
Thoong,vật tổ,N,
Thư thoong,thờ vật tổ,N,
Thoong,may,A,
Thoỏng,vỗ,V,
Nặm thoỏng,sóng vỗ,V,
Thoóng,vang vọng,V,
Thót,rút,V,
Thót,nhổ,V,
thót lắc,nhổ cọc,V,
Thót,"bỏ, cởi, tháo",V,
thót hài,bỏ giầy,V,
Thốc,cây luồng,N,
Thốc,rủ,V,
Thốc,gục,M,
Thôm,ao,N,
thôm pja,ao cá,N,
kháng thôm,tháo ao,V,
Thổm,úp,V,
thổm pja,úp cá,V,
Thổm,càn,M,
Thông,"túi, túi lưới",N,
Thắc thông,đeo túi,V,
Thông,"thông, thông nhau",V,
Thông rụ,hiểu biết,M,
Thống thống,thênh thênh,N,
Thu,cái dậu con,N,
Thu,mùa thu,V,time
Thù thì,thủ thỉ,N,
Thú,đũa,M,
Thụ,giập,M,
Thụ thạc,giập nát,N,
Thúa,"đỗ, đậu",V,
Năm thúa,trồng đỗ,V,
Thúa đăm,đỗ đen,V,
Thúa đin,lạc,M,
Thúa khao,đỗ trắng,V,
Thúa kheo,đỗ xanh,V,
Thúa ngạt,giá đỗ,N,
Thúa pán,đỗ ván,V,
Thúa xẳng,đỗ tương,V,
Thúc,chín,M,
Thúc,vừa,R,
thúc toọng,vừa ý,V,
Thúc,"bị, phải",V,
thúc tội,bị tội,V,
thúc pây,phải đi,V,
Thúc da,bị ngộ độc,V,
Thủi,pát,M,
Thúi,chửi,V,
Thum thọa,dò dẫm,M,
Thum thoạm,mò mẫm,V,
Thúm,ngập,V,
Thúng,ngăn kéo,V,
Thúng lẽ,lẽ,N,
Thuổi thoang,thon thả,V,
Thuổm,ngập,V,
Thuổm,đầy,A,
Thuổn,hết,V,
Thuổn,tất cả,P,
Thuổn,tốn,V,
Thuông,gặp,V,
Thuông,nhân dịp,M,
Thuống,trĩu xuống,V,
Thuống,xệ xuống,V,
Thuốp,đập,V,
thuốp hin,đập đá,V,
Thuốp,phang,M,
Thư,mang,V,
Thư,chống,V,
thư tậu,chống gậy,V,
Thư,đeo,V,
Thư,cầm,V,
thư thú,cầm đũa,V,
Thư,bấu víu,M,
Thư,cắn,V,
Thư,bắt,V,
Thư,"tới, kịp",CH,
Thư,tận,E,
Thư,ăn,V,
Thư,dính,V,
Thư,đông,A,time
Thư,say,M,
Thư,khớp,M,
Thư,đều,R,
Thư,"cày, bừa",CH,
thư thây,"cày,",CH,
thư phưa,bừa,M,
Thư,làm nghề,V,
thư nà,làm ruộng,V,
Thư,"cháy, bén",CH,
đén thư,đèn cháy sáng,N,
Thư cằm,chấp,M,
Thư co,bén rễ,N,
Thư hua,quện nhau,V,
Thướn,rừng,N,place
cáy thướn,gà rừng,N,
Thương,"đường, mật",N,
Chắc thương,nấu mật,V,
Thương kép,đường phên,N,
Thương khao,đường trắng,N,
Thương nặm,mật,M,
Thương sla,đường cát,N,
Ti,đặc,A,
Ti,tịt,M,
đăng ti,mũi tịt,N,
Tì từn,đì đùng,N,
Tỉ,tí,M,
Pi tỉ,năm tí,N,time
Tỉ,cái rế,T,
Ti,"nơi, chỗ, chốn",N,place
Ti,sợi dọc,N,
Ti fằn,nghĩa địa,N,place
Ti fuông,địa phương,N,place
Ti hâu,"đâu, chỗ nào",P,
Ti năng,chỗ ngồi,V,place
Ti năng,địa vị,M,place
Ti rườn,nền nhà,N,place
Ti rườn,thổ cư,M,place
Tỉ,"ấy, đó, kia",P,
Noọc tỉ,ngoài kia,P,
Cần tỉ,người đó,P,
Dú tỉ,ở chỗ ấy,E,place
Tị,tị,M,
Tị,trị,V,
Tía,"địu, cõng",CH,
tía lục,địu con,V,
Tịa,tía,M,
Tịch,nhét,M,
Tiêm la,bệnh giang mai,N,
Tiểm,đốm,M,
Tiểm,"xỉa, đâm",CH,
Tiểm,"kiểm, đếm",CH,
Tiểm mẹc,điểm huyệt,N,
tiên,tiên,N,
Tiển,"tiến, dâng",V,
Tiểng,tiếng,N,
tiểng Tày,tiếng Tày,Np,
Tiểng,giọng,N,
Tiểng tồn,tin đồn,N,
Tiêu,tiêu,M,
Tiếu,treo,V,
Tiếu xè,cảm cấp tính,V,
Tiệu,triệu,M,
Tím,xa,A,
Tin,bấc,M,
tin đén,bấc đèn,N,
Tin,chân,N,
tin pù,chân núi,N,place
tin pha,chân vách,N,place
tin đuây,chân cầu thang,N,place
Tin,gót,M,
Tin,gấu,N,
tin slửa,gấu áo,N,
tin khóa,gấu quần,N,
Tin,tin,N,
Slắng tin,nhắn tin,V,
Tin fạ,chân trời,N,
Tin fung,uốn ván,V,
Tin khôn,chân lông,N,
Tin mừ,chân tay,N,
Tin mừ,hoa tay,N,
Tin mừ,tay sai,N,
Tinh,thần,N,
Tình tẹ,rành rẽ,V,
Tinh,nghe,V,
Tinh,làm theo,V,
Tỉnh,đỉnh,N,
Tỉnh,tính tình,V,
Tỉnh,tính toán,V,
tỉnh chèn,tính tiền,V,
Tỉnh,đính,M,
Tỉnh,đố kị,N,
Tỉnh,đối chọi,M,
Tỉnh khêm,cái nhẫn khâu,M,
Tỉnh sló,tính đến,E,
Tỉnh tầu,đặt cọc,V,
Tính,đàn đàn tính,V,
Tít,bệnh càng cua,M,
Tiu,"lẳng, quăng",CH,
Tỉu,mắng,M,
Tỉu,chửi,V,
To,gốc cây,N,place
To,đựng,V,
To,hứng,M,
To,đơm,M,
to dầy,đơm đó,P,
To,đo,V,
To,so,V,
Tò,khuân,M,
tò fừn,khuân củi,N,
Tò,tha,V,
Tò,vận chuyển,V,
Tò,làm ốm,V,
Phi tò,ma làm ốm,V,
Tò,lượt,N,
Tò,trở,V,
tò teo,trở lại,V,
Tò,nhau,N,
tò điếp,yêu nhau,V,
To cống,thoát nước,V,
Tò cáp,gặp nhau,V,
Tò cáp,chung nhau,N,
Tò cáp,góp,V,
Tò chăng,quả cân,N,
Tò khửn,trở lên,V,
Tò lồng,trở xuống,V,
Tò xày,cùng nhau,N,
Tỏ,đánh bạc,V,
Tỏ,chọi gà,N,
Tó,học trò,N,
Tó,ong bầu vẽ,V,
Tó,đóng,V,
tó choòng,đóng bàn,V,
Tó,tra,M,
Tó,Với nhau,E,
Tó,với,E,
Tó,sánh với,E,
Tó,"trước, trước mặt",N,
Tó bôn,ong mắt quỷ,V,
Tó bỏi,đối chất,M,
Tó chú,gí sát,V,
Tó đán,ong bầu đất,N,
Tó lệt,ong bầu vẽ,V,
Tó lóm,vừa đủ,A,
Tó lú,ngang giá,N,
Tó nả,trước mặt,E,
Tó pác,cãi lại,V,
Tó xum,ong đất,N,
Tọ,nhưng,C,
Tọ cạ,nhưng mà,M,
Tòa,quét,V,
tòa phon,quét vôi,V,
Tòa,phệ,M,
Toọng tòa,bụng phệ,N,
Toa,thồ,M,
Tỏa,buông,V,
Moóc tỏa,sương buông,V,
ToáI,trễ,M,
Toan,tươn,M,
Toáng,xâu,M,
Toáng,nhằng,M,
Toáng toáng,lủng lẳng,N,
Toóc,đóng,V,
toóc teng,đóng đinh,V,
toóc lắc,đóng cọc,V,
Toóc,gõ,M,
Toóc,đốp,M,
Toóc,ép,V,
toóc dầu,ép dầu,V,
Toóc,cục tác,N,
Toóc khon,chim gõ kiến,N,
Toọc,"một, độc",CH,
ăn toọc,một cái,Nc,
Toọc,đọc,V,
toọc sléc,đọc sách,V,
Toọc,vả,M,
Toọc,thốc,M,
Toi,đòi,V,
toi nỉ,đòi nợ,V,
Toi,"gọi, triệu tập",CH,
Tỏi,xà tích,M,
Tói,gõ,M,
tói moong,gõ mõ,V,
tói tu,gõ cửa,V,place
Tói,tháo,V,
Tói,trọn,A,
tói pi,trọn một năm,M,time
Tói phấn,"nửa, gần nửa",N,
Tọi,"héo, ngót",CH,
Tọi,lả,M,
Tom,bâu,M,
Tom,hút nhụy,V,
Tom,xúm lại,V,
Tom,chụm,M,
Ton,"thiến, hoạn",CH,
cáy ton,gà thiến:,CH,
ton vài,hoạn trâu,V,
Ton,ngắt,M,
ton nhọt,ngắt ngọn,N,
Ton,đoạn,N,
ton mạy,một đoạn gỗ,N,
Ton,nửa,N,
ton tàng,nửa đường,N,place
Ton dàu,đoạn thẳng,N,
Tòn,"rung, rung động",CH,
đin tòn,đất rung,V,
Tỏn,đón,V,
tỏn tàng,đón đường,V,place
Tón,bữa,N,
tón ngài,bữa trưa,N,time
Tón,"trận, mẻ",CH,
Tọn,dọn,V,
Toong,lá,N,
toong cọ,lá cọ,N,
toong mu,lá chít,N,
Toong chinh,lá dong,N,
Toong cuổi,lá chuối,N,
Toong van,lá dong dại,N,
Toòng,đồng,N,
mỏ toòng,nồi đồng,Nu,
Sliến toòng,dây đồng,N,
Toòng,thau,M,
Pừn toòng,chậu thau,N,
Toòng,bóng,N,
Toòng,sáng,N,
tha toòng,mắt sáng,N,
Toòng cháo,thao láo,M,
Toòng cuổi,đồng thau,N,
Toòng fầy,đồng đỏ,N,
Toòng tích,bóng lộn,N,
Toòng tỉu,bóng loáng,N,
Toòng tỉu,sáng vằng vặc,M,
Toòng tưn,sáng bóng,N,
Toòng tứng,bóng nhoáng,N,
Toỏng,"đụng, vấp",CH,
Toỏng,đâm,V,
Toỏng,chọi,M,
Toỏng,ép,V,
toỏng dầu,ép dầu,V,
Toỏng,vỗ,V,
Toỏng,đóng,V,
toỏng sléc,đóng sách,V,
toỏng hài,đóng giày,V,
Toỏng,đông kết,V,
Toỏng,"gặm, nhấm",CH,
Toỏng cưởm,đối đầu,M,
Toỏng đút,vấp,M,
Toỏng đút,ngắc ngứ,N,
Toỏng nả,đóng váng,V,
Toóng quai,quai,M,
Toóng téng,lặt vặt,M,
Toóng téng,lắt nhắt,N,
Toóng xọt,thì thôi,T,
Toọng,bụng,N,
toọng pè,đầy bụng,N,
toọng chếp,đau bụng,V,
Toọng luông,dạ dày,M,
Toọng nọi,bụng dưới,E,
Toọng slứt,đỉnh màn,N,
Tóp,hóp,M,
Tóp,chụm lại,V,
Tót,"rức, nhức, buốt",CH,
Hua tót,nhức đầu,N,
khẻo tót,buốt răng,P,
đảng tót,rét buốt,A,
Tót,mổ,V,
Cáy tót,gà mổ,V,
Tót khon,toóc khon,N,
Tọt,tung,V,
Tọt,quăng,M,
Tọt,ném,V,
Tô,"rao, quảng cáo",V,
Tô,trọ,V,
rườn tô,nhà trọ,N,place
Tô,đỗ,M,
Tổ,đố,M,
Tò tổ,đố nhau,V,
Cằm tổ,câu đố,N,
Kẻ tổ,giải đố,M,
Tố,cũng,R,
Tốc,rơi,V,
hết tốc,đánh rơi,V,
Tốc,lặn,V,
Tốc,kém,A,
Tốc,tới,E,
Tốc,lệch về,E,
Tốc,"sớm, muộn hơn",A,
Tốc,lại,R,
ừ,"vâng, phải",CH,
ừ,đồng ý,V,
ử,ứ,M,
ử,ế,A,
ứ,cái nôi,T,
vây ứ,đưa nôi,V,
ứ,ru,M,
ưa ước,dở hơi,R,
ứn,khác,A,
bản ứn,bản khác,N,place
ửng,dâng,V,
ước,ước,V,
ược,ợ chua,N,
ưởm,ướm,M,
ưởm,ước chừng,V,
ươn châư,ngạo mạn,N,
ươn ứa,ngây ngấy,N,
ưởn,ưỡn,M,
ưởn ấc,ưỡn ngực,N,
ưởn,ngớt,M,
Phôn ưởn,mưa ngớt,N,
ương,ươm,M,
ướp,ướp,V,
ướp nựa,ướp thịt,V,
Pja ướp,cá ướp,V,
ứt ứt,mườn mượt,N,
ựt ạt,ấm ứ,M,
ựt ạt,lặc lè,N,
Va,bjoóc,M,
Va,bó,M,
va khẩu,bó lúa,V,
Va neo,cây nêu,V,
Và,sải,M,
Và vang,vơ quàng,N,
Vả,"hoá, biến hóa",CH,
Vạ,với,E,
Vạ,cùng,A,
Vạ,và,C,
Vai,"mây, song",CH,
Tậu vai,gậy song,N,
Vai,chia sẻ,V,
vai cay,mây,N,
vai vài,song,C,
Vài,trâu,N,
Vài eng,nghé,M,
Vài mẹ,trâu cái,T,
Vài pa,bệnh quai bị,N,
Vài pu,trâu chọi,N,
Vài slảu,trâu cái nhỡ,T,
Vài sleng,trâu đực,N,
Vài tậc,trâu đực nhỡ,V,
Vai,hỏng,A,
Hết vai,làm hỏng,V,
Xe vai,xe hỏng,N,
Vai,phí,N,
Vai,mất,V,
Vai,chết,V,
Vai,hư,A,
vai cần,hư người,N,
Vai đang,sẩy thai,N,
Vải,than vãn,N,
Vải,bơi sải,V,
VáI,vãi,M,
VáI,vung vãi,N,
Vái vác,vung vãi,N,
Vái vác,hoang phí,M,
Vái vác,bừa bãi,M,
Vam,lõm,M,
Vàm,cằm,M,
van,ngọt,M,
Phuối van,nói ngọt,V,
van,ngon,A,
van,vừa,R,
van,hòa thuận,N,
van,khéo,M,
van,tốt,A,
Heng van,giọng tốt,N,
Van dít,ngọt lịm,M,
Van dỏi,ngọt dịu,A,
Van dỏi,ngọt xớt,M,
Van ón,ngòn ngọt,N,
Van ón,du dương,M,
Van pác,ngon miệng,N,
Vàn,nhờ,V,
Vàn,cầu khiến,V,
Vàn,từ chối,V,
Vàn lạy,van xin,V,
Van xói,xói,M,
vản,ván,N,
Ván,gieo,M,
ván chả,gieo mạ,V,
Ván,vãi,M,
Vang màng,mê sảng,V,
Vang mạng,bừa bãi,M,
Vang mạng,lung tung,M,
Vang,gian,N,
Vang,bẫy dây,N,
Vang kha,háng,M,
Vảng,hoảng,V,
Vảng,nếu,C,
Vảng cở,hoảng hốt,M,
Váng,rỗi,M,
Váng,bỏ sót,V,
Vạng,nước cốt,N,
lẩu vạng,rượu nước cốt,N,
Vạng,trượt,M,
Vao,mẻ,M,
pát vao,bát mẻ,N,
khẻo vao,răng sứt,N,
Vao,khuyết,M,
Hai vao,trăng khuyết,N,
Vát,"bới, móc",CH,
vát mằn,bới khoai,N,
Vát,vét,V,
vát pùng,vét bùn,V,
Vát,cào,V,
mèo vát,mèo cào,V,
Vạt,cây ráy,N,
Vau,"móm, khuyết",CH,
khẻo vau,răng móm,N,
vắc,con cuốc,N,
Vặc,"móc, vướng",V,
Vặc,ngoắc,M,
Vằm,đục,A,
nặm vằm,nước đục,N,
Vằm,rắc rối,M,
Vằm chúng,đục lầm,M,
Vằm khút,đục ngầu,M,
Vằm vè,lẩn thẩn,M,
Văm,mò,V,
văm hoi,mò ốc,V,
văm pja,mò cá,V,
Văm,rúc,M,
Văm ve,mò mẫm,V,
vắm,răng rụng,N,
Vặm,câm,M,
Vặm,im lặng,A,
Vặm vặp,im thin thít,N,
Vằn,khói,N,
vằn fầy,khói lửa,N,
Vằn,bụi mù,N,
Vằn,ngày,N,time
tằng vằn,ban ngày,N,time
Vằn,còn sớm,A,
Nhằng vằn,còn sớm,A,
Vằn cẳm,ngày đêm,N,time
Vằn fầy,khói lửa,N,
Vằn lăng,hôm sau,N,time
Vằn lẩu,ngày cưới,N,time
Vằn lừ,ngày kia,P,time
